"1119391538113437697^'rt : qualcomm stock jumps on surprise settlement with apple via the tech playlist'^2019-04-20^00:05:14^2063"
"1119391627947249664^'in an apple memo shown in apple v qualcomm  apple execs described qualcomm tech as ""the best""  raising questions about apple's belief in its legal arguments (reed albergotti/washington post)'^2019-04-20^00:05:36^3"
"1119391702794551297^'in an apple memo shown in apple v qualcomm  apple execs described qualcomm tech as ""the best""  raising questions about apple's belief in its legal arguments (reed albergotti/washington post) -'^2019-04-20^00:05:53^13"
"1119391876396797952^'rt : apple said qualcomm's tech was no good but in private communications  it was 'the best' - the washington post'^2019-04-20^00:06:35^2264"
"1119391923201093632^'rt : the new documents that came out during opening statements in the apple qualcomm trial were overshadowed by the settleme'^2019-04-20^00:06:46^4192"
"1119392275639848960^'rt : billionaire's donation rejected by san diego council member! qualcomm founder irwin jacobs ""disappointed"" balboa par'^2019-04-20^00:08:10^305"
"1119392589906677762^'in an apple memo shown in apple v qualcomm  apple execs described qualcomm tech as ""the best""  raising questions about apple's belief in its legal arguments (reedalbergotti / washington post)'^2019-04-20^00:09:25^687"
"1119392896044687361^'in an apple memo shown in apple v qualcomm  apple execs described qualcomm tech as ""the best""  raising questions about apple's belief in its legal arguments (reed albergotti/washington post)'^2019-04-20^00:10:38^3000"
"1119393238912094209^'apple and qualcomm settle their legal battle here's what wall street analysts are saying'^2019-04-20^00:12:00^857"
"1119398085308768257^'rt : development kit claims alexa-first for mesh wi-fi networks alexa wifi network smarthome electronicproducts qualcomm le'^2019-04-20^00:31:15^294"
"1119398220826910721^'rt : qualcomm cofounder irwin jacobs  who has for years championed a plan to overhaul 's central mesa  said that'^2019-04-20^00:31:47^2032"
"1119398265210847232^'apple has always lied and violated the laws  it is in their corporate dna the fact that all of the media buys into their bullshit is astounding they still have dark money overseas  in russia they still source conflict minerals in their supply chain and they pay zero taxes'^2019-04-20^00:31:58^834"
"1119399120534474752^'apple said qualcomm's tech was no good but in private communications  it was 'the best''^2019-04-20^00:35:22^121"
"1119399154122407936^'apple  qualcomm settle bitter dispute over iphone technology wallst on april   :pm'^2019-04-20^00:35:30^104798"
"1119399157976924161^'rt : in the middle of opening arguments  apple and qualcomm announced they had settled their patent licensing battle  ending a two-yea'^2019-04-20^00:35:31^289"
"1119399280740110336^'thank you to qualcomm and our dad's club for hosting an event for our families last night! what a wonderful  authentic way to engage in learning together!'^2019-04-20^00:36:00^236"
"1119399609023909888^'rt : billionaire's donation rejected by san diego council member! qualcomm founder irwin jacobs ""disappointed"" balboa par'^2019-04-20^00:37:18^67202"
"1119399799860727813^'qualcomm might launch the sd soc later this year  details leaked technews'^2019-04-20^00:38:04^221"
"1119399983252267009^'rt : shares of chip technology company qualcomm surged after it reached a six-year licensing agreement with apple'^2019-04-20^00:38:48^2110"
"1119400294876680193^'apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:40:02^13593075"
"1119400295446925313^'apple publicly said qualcomm's tech was no good but privately it was called 'the best' (by reed albergotti/washpostcom - biz)'^2019-04-20^00:40:02^324"
"1119400296638062593^'apple publicly said qualcomm's tech was no good but privately it was called 'the best' (by reed albergotti/washpostcom - biz)'^2019-04-20^00:40:02^2757"
"1119400297523056641^'apple said qualcomm's tech was no good but in private communications  it was 'the best' - biz)'^2019-04-20^00:40:03^324"
"1119400297929908226^'apple said qualcomm's tech was no good but in private communications  it was 'the best' - biz)'^2019-04-20^00:40:03^2757"
"1119400371066212354^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:40:20^149"
"1119400419485257856^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:40:32^1072"
"1119400455396823040^'qualcomm joins tencent and vivo on new ai initiative for mobile gaming esports'^2019-04-20^00:40:40^69"
"1119400496362659841^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:40:50^57"
"1119400532727087104^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:40:59^1110"
"1119400539417141248^'apple said qualcomm's tech was no good but in private communications  it was 'the best' via /r/apple'^2019-04-20^00:41:00^76"
"1119400624704172032^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:41:21^367"
"1119400695961214976^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:41:38^455"
"1119400963255652352^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:42:41^8"
"1119400966401470464^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:42:42^1834"
"1119401118986055680^'wait till you hear what lisa really thinks of becky'^2019-04-20^00:43:18^316"
"1119401679294738433^'europe's carmakers battle each other on connected vehicle rules via'^2019-04-20^00:45:32^14"
"1119401817127948291^'rt : apple said qualcomm's tech was no good but in private communications  it was ""the best""'^2019-04-20^00:46:05^10"
